_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
854,Lycée Français de Toronto,877018,,Barbara Martin,,,2327 Dufferin St,Toronto,Ontario,M6E3S5,416-924-1789,416-924-9078,Toronto Region,proviseur@lft.ca,www.lft.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
855,Lynden School,668587,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marijana Stojkovic,204,,3105 Dundas Street West,Mississaug,Ontario,L5L3R8,365-324-7296,,West Region,director@lyndenschool.org,https://www.lyndenschool.online/,Secondary,Not applicable,Online Only,Independent and Private School Forum
856,Lynedoch Christian School,668419,,Peter Friesen,,,295 Charlton Street,Delhi,Ontario,N4B2W4,519-582-1222,,West Region,,,Elem/Sec,Not applicable,Site based only,No Association Membership
857,Lynn-Rose College,667127,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle Lau,,,7310 Rapistan Crt.,Mississauga,Ontario,L5N6L8,905-816-0301,905-567-5318,Central Region,llafferty@lynnroseheights.org,www.lynnroseheights.com,Elem/Sec,Not applicable,Online/Site Based,IB Schools of Ontario
858,Lynn-Rose Heights Private School - Elem,878014,,Michelle Lau,,,7215 7215 MILLCREEK Drive,MISSISSAUGA,Ontario,L5N3R3,905-567-3553,905-567-5318,Central Region,LLAFFERTY@LYNNROSEHEIGHTS.ORG,http://www.lynnroseheights.net,Elementary,Not applicable,Site based only,IB Schools of Ontario
859,Lyonsgate Montessori School,668747,,Rachel Lyons,,,248 Locke Street South,Hamilton,Ontario,L8P4B9,905-525-4283,,West Region,admin@lyonsgate.ca,www.lyonsgate.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
860,M'Learning Student Centre,669485,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nikita Dua,,,3-5695 Rivergrove Avenue,Mississauga,Ontario,L5M3V8,905-462-2698,,Central Region,info@learnincentre.com,,Secondary,All Year Round,Online Only,No Association Membership
861,MAC Al-Furqan Quran School - London,669360,,Sarrah Lawendy,9,,1175 Hyde Park Rd,London,Ontario,N6H5K5,226-884-9357,,West Region,admin@londonalfurqanschool.ca,,Elementary,Not applicable,Site based only,Muslim Association of Canada
862,MAC Al-Furqan School,880155,,Khadijah Al-Dhabbi,1,,60 Town Centre Court,Toronto,Ontario,M1P0B1,416-822-5501,,East Region,khadijah.aldhabbi@gmail.com,www.alfurqan.school,Elementary,Not applicable,Site based only,Muslim Association of Canada
863,MAC Maple Grove School,665027,,Rozeena Khan,,,160 Courtland Avenue East,Kitchener,Ontario,N2G3M6,226-647-8500,,West Region,admin@macmaplegrove.com,www.macmaplegrove.com,Elementary,Not applicable,Site based only,Muslim Association of Canada
864,MAC Niagara Islamic School,669650,,Lisa Stevens-Aboaen,,,140 Haig Street,St. Catharines,Ontario,L2R6L3,905-688-6622,,West Region,macnis2017@gmail.com,www.macnis.ca,Elementary,Not applicable,Site based only,Muslim Association of Canada
865,MAC Rose City Elementary School,881931,,AMANI ZABALAWI,,,5420 EMPRESS STREET,WINDSOR,Ontario,N8T1B4,519-419-1714,519-419-3899,West Region,admin@rosecityelementaryschool.ca,,Elementary,Not applicable,Site based only,Muslim Association of Canada
866,MAM Islamic Elementary School,665262,,Nighat Parveen,,,4269 Regional Road 25,Oakville,Ontario,L6M4E9,647-988-4269,,Central Region,nighat.parveen@miltonmasjid.com,,Elementary,Not applicable,Site based only,No Association Membership
867,MEI Academy World High School,669686,Offers credits toward the Ontario Secondary School Diploma (OSSD),Joseph Mei,,,15816 Regional Road 50,Bolton,Ontario,L7E3E5,905-880-1492,905-880-0708,Central Region,world@meiacdaemy.com,meiacademy.com,Secondary,All Year Round,Online/Site Based,No Association Membership
868,MILLWOODS INTERNATIONAL SCHOOL,884072,,Komalpreet Kaur Sandhu,201,,4786 Queen St,Niagara Falls,Ontario,L2E2M3,289-257-5150,,West Region,MILLWOODSINTLSCHOOL@GMAIL.COM,,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
869,MITBRIDGE ACADEMY,665724,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yu Wei,,,1674 Gerrard Street E,Toronto,Ontario,M4L2B2,416-816-8870,,Toronto Region,weiyu666@outlook.com,www.mitbridgeacademy.com,Secondary,All Year Round,Online Only,No Association Membership
870,ML Montessori,883237,,Michael Madeley,,,8142 Islington Avenue,Woodbridge,Ontario,L4L1W6,905-856-3875,,Central Region,mwmadeley2@gmail.com,www.mlmontessorischool.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
871,"Mabin School, The",881090,,Simone Gravesande,,,50 Poplar Plains Road,Toronto,Ontario,M4V2M8,416-964-9594,416-964-3643,Toronto Region,office@mabin.com,www.mabin.com,Elementary,Not applicable,Site based only,No Association Membership
872,MacLachlan College,881298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Piening,,,2794 South Sheridan Way,Oakville,Ontario,L6J7T4,905-844-0372,,Central Region,mpiening@maclachlan.ca,www.maclachlan.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
873,MacLachlan College Lower School,665698,,Jacki Bright,,,337 Trafalgar Road,Oakville,Ontario,L6J3H3,905-844-0372,,Central Region,jbright@maclachlan.ca,www.maclachlan.ca,Elementary,Not applicable,Site based only,IB Schools of Ontario
874,Macdonald-Cartier Academy,875341,,jean mantha,,,270 Crichton St,Ottawa,Ontario,K1M1W4,613-744-8898,613-744-2150,East Region,mcaint@bellnet.ca,http://www.mcacademy.ca/,Elementary,Not applicable,Site based only,No Association Membership
875,Macton Parochial School,887722,,Mary Martin,,,4783 Lavery Road 1,Wallenstein,Ontario,N0B2S0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
876,Madaniyya Academy,668301,,Mahmad Zakariya Desai,200,,3930 Nashua Drive,Mississauga,Ontario,L4V1M5,647-781-7313,,Central Region,jameahmadaniyya@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
877,Madina Academy,667977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shibli Russel,205-A,,2680 Lawrence Avenue East,Scarborough,Ontario,M1P4Y4,647-721-0664,647-947-2789,East Region,madinaacademys@gmail.com,www.madinaacademys.com,Secondary,All Year Round,Site based only,No Association Membership
878,Madinatul Uloom Academy - Scarborough,882911,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sofia Sirajunnisa,13 to16,,670 Progress Avenue,Toronto,Ontario,M1H3A4,416-332-1810,416-332-0470,East Region,info@mua.ca,www.mua.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
879,Madinatul Uloom Academy Inc,666972,,Noor Rehman,1 & 2,,710 Progress Ave,Scarborough,Ontario,M1H2X3,416-332-9428,416-332-0470,East Region,info@mua.ca,www.mua.ca,Elementary,Not applicable,Site based only,No Association Membership
880,Madinatul-Uloom Academy,877492,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nilofar Asif,6 and 7,,670 Progress Ave,Scarborough,Ontario,M1H3A4,416-332-9428,416-332-0470,East Region,info@mua.ca,www.mua.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
881,Madresatul Banaat Almuslimaat,876259,Offers credits toward the Ontario Secondary School Diploma (OSSD),Syed Qadri,,,10 Vulcan St,Etobicoke,Ontario,M9W1L2,416-244-8600,416-244-0059,Central Region,madresatul@yahoo.com,,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
882,Magnificent Minds,668504,,Alexandra Dezenhouse,,,37 Southbourne Avenue,Toronto,Ontario,M3H1A4,647-404-6349,,Central Region,Alley@MagnificentMinds.ca,www.magnificentminds.ca,Elementary,Not applicable,Site based only,No Association Membership
883,Maingate Islamic Academy,665700,,Abeer Mowafy,,,5280 Maingate Drive,Mississauga,Ontario,L4W1G5,905-629-4764,905-629-4256,Central Region,info@maingateislamicacademy.com,www.maingateislamicacademy.com,Elementary,Not applicable,Site based only,No Association Membership
884,Makes Height School,883755,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ted Brennan,,,50 Queen St W,Brampton,Ontario,L6V1A2,647-948-9108,647-748-8618,Central Region,makesheightschool@gmail.com,,Secondary,Not applicable,Online/Site Based,No Association Membership
885,Makki Islamic Learning Centre,669285,,Aslam Kalair,,,8450 TORBRAM RD,BRAMPTON,Ontario,L6T4M9,647-478-8340,647-478-8350,Central Region,admin@bramptonmakkimasjid.com,http://bramptonmakkimasjid.com/services.Makki.Islamic.Learning.Centre.htm,Elementary,Not applicable,Site based only,Other
886,Malvern Montessori School,883812,,Suwendrini Nirmalchandran,,,10 Sewells Rd,Scarborough,Ontario,M1B3G5,416-724-8900,,East Region,info@malvernmontessorischool.com,,Elementary,Not applicable,Site based only,No Association Membership
887,Mamawmatawa Holistic Education Centre,667528,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephanie Sutherland,,Box 5000,2 Musko Rd Road,Constance Lake,Ontario,P0L1B0,705-463-1199,705-463-2077,North Region,gaetan.baillargeon@mhec.education,www.clfn.on.ca,Secondary,First Nation,Site based only,No Association Membership
888,Manar Academy,884318,,Eram Butt,,,1477 Sydenham Road,Kingston,Ontario,K7L4V4,613-876-8684,,East Region,manarislamiccenter@gmail.com,https://manarislamiccentre.ca/,Elementary,Not applicable,Site based only,No Association Membership
889,Manor Montessori School,877859,,Dana Stewart,,,909 Mount Pleasant Rd,Toronto,Ontario,M4P2Z6,416-488-4218,416-488-5830,Toronto Region,info@manormontessorischool.com,www.manormontessori.com,Elementary,Not applicable,Site based only,No Association Membership
890,Maple Bear International School Toronto,667088,Offers credits toward the Ontario Secondary School Diploma (OSSD),John O'Donnell,40,,1003 University Avenue,Toronto,Ontario,M5J1T1,416-433-2549,,Toronto Region,international.toronto@maplebear.ca,www.maplebeartoronto.ca,Secondary,All Year Round,Online Only,No Association Membership
891,Maple Children's Montessori School,668939,,Gary Carrera,9,,10175 Keele Street,Maple,Ontario,L6A3Y9,905-832-6665,,Central Region,mcms.1998@yahoo.ca,maplechildrensmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
892,Maple Crest Early School Ltd.,665008,,Shannon McNevin,,1222,49 Highway 20 West,Fonthill,Ontario,L0S1E0,905-892-4865,,West Region,maplecrestearlyschool@hotmail.com,,Elementary,Not applicable,Site based only,No Association Membership
893,Maple Dell School,881377,,Mahion Shetler,,,260550 Maple Dell N0J 1P0,Norwich,Ontario,N0J1P0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
894,Maple Drive Parochial,885665,,Miriam Horst,,,6784 First Line W,Elora,Ontario,N0B1S0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
895,Maple Grove Amish Parochial School,877905,,MaryAnn Zehr,,,2849 Bruce Road 15 1,Tiverton,Ontario,N0G2T0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
896,Maple Grove Parochial,887730,,Grace Frey,,,5737 Buehler Line 1,Wallenstein,Ontario,N0B2S0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
897,Maple Grove Parochial School,665776,,Rudy Gingerich,,,38725 Belfast Road 3,Wingham,Ontario,N0G2W0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
898,Maple Lane,885156,,Saloma Brubacher,,,45262 Salem Road 2,Clifford,Ontario,N0G1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
899,Maple Leaf Collegiate,884710,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abigail Dong,518,,4002 Sheppard Avenue East,Scarborough,Ontario,M1S4R5,647-351-1688,647-351-1688,East Region,info@mapleleafcollegiate.ca,mapleleafcollegiate.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
900,Maple Leaf Secondary School,666204,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yasir Nasir,330,,4168 Finch Avenue East,Scarborough,Ontario,M1S5H6,647-409-8972,,Central Region,yasirnasir5@gmail.com,https://mapleleafss.com/,Secondary,All Year Round,Online/Site Based,No Association Membership
901,Maple Queen Academy,884209,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Kevin Dong,,,2620 Simcoe St N,Oshawa,Ontario,L1L0R1,905-995-1828,,East Region,kevindong@nomiedu.com,,Secondary,Not applicable,Online Only,No Association Membership
902,Maple Ridge Academy,669802,Offers credits toward the Ontario Secondary School Diploma (OSSD),Manal Labib,228,,1550 SOUTH GATEWAY RD.,Mississauga,Ontario,L4W5G6,905-282-9889,,Central Region,info@mapleridgeacademy.com.,mapleridgeacademy.com,Secondary,All Year Round,Online/Site Based,No Association Membership
903,Maple Root Academy,668847,,Rana Hafiz,,,5 -211 Dunwin Drive,Mississauga,Ontario,L5L3C1,905-607-6313,,Central Region,maplerootacademy@gmail.com,,Elementary,Not applicable,Online/Site Based,No Association Membership
904,Maple View Parochial School,883140,,Kimberly Horst,,,9542 Arthur Con 6 N 6,Mount Forest,Ontario,N0G2L0,519-323-3947,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
905,Maple World Academy,665059,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christian Bayly,,,209 Lichen Crescent,Oshawa,Ontario,L1J7W2,647-818-6479,,East Region,christian.bayly@gmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
906,Maplebridge International School,667794,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),LAMA AL RIHANI DIT TALLAJ,5700,,100 King Street West St,Toronto,Ontario,M5X1C7,437-881-6906,,Toronto Region,Lamatallaj@Can-bridge.ca,WWW.MAPLEBRIDGESCHOOL.COM,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
907,Maplebrook Virtual School,886814,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elnaz Sedaghatalvar,,,95 Hidden Trail Ave,Richmond Hill,Ontario,L4C0H1,647-858-2565,,Central Region,elnaz.alvar@gmail.com,,Secondary,All Year Round,Online/Site Based,No Association Membership
908,Mapleton Meadow Parochial School,883498,,Erla Horst,,,8249 Wellington Road 86 3,Listowel,Ontario,N4W3G8,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
909,Mapleview,889717,,Brianna Warkentin,,,5026 Line 10 RR 1,St Marys,Ontario,N4X1C4,519-229-6324,519-229-6346,West Region,mapleviewschool@gmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
910,Mapleview Christian Academy,666644,,Lori-Lynn Head,,,300 Mapleview Drive,Barrie,Ontario,L4N9E7,705-735-6423,,Central Region,Bdavis@mapleviewchristianacademy.com,www.mapleviewchristianacademy.com,Elementary,Not applicable,Site based only,No Association Membership
911,Maplewood Academy,882656,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bryan Ho,2FL,,28 Fairlawn AVE,Toronto,Ontario,M5M1S7,416-848-0882,,Central Region,bryan.ho@maplewoodacademy.net,https://www.maplewoodacademy.net/,Secondary,All Year Round,Online/Site Based,No Association Membership
912,Maranatha Christian Academy,883590,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jerilee Sharpe Preston,,,939 Northwood Street,Windsor,Ontario,N9E1A2,519-966-7424,519-966-9519,West Region,wkogel@maranathachristian.ca,www.maranathachristian.ca,Elem/Sec,Not applicable,Site based only,EDVance
913,Maranatha Christian Day School,882271,,Stephan Gingerich,,107,31 John St,Drayton,Ontario,N0G1P0,519-638-2446,,West Region,horstryan@hotmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
914,Maranatha Christian School,888338,,Richard Hoeksema,,,8037 Wellington Rd 19,Fergus,Ontario,N1M2W4,519-843-3029,519-843-4711,West Region,office@mcsfergus.ca,mcsfergus.ca,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
915,March Academy Private School,666556,,Michael Kennedy,,,325 Sandhill Rd 1,Kanata,Ontario,K2K1X7,613-592-3398,,East Region,information@marchacademy.ca,www.marchacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
916,Marey Academy,885243,Offers credits toward the Ontario Secondary School Diploma (OSSD),Heba Said Marey,11,,1155 North Service Rd W.,Oakville,Ontario,L6M3E3,647-809-1218,,Central Region,hebasaid06@gmail.com,https://mareyaacademy.com/,Secondary,All Year Round,Online/Site Based,No Association Membership
917,Maria Montessori Elementary School,885590,,Alanah Dickson,,,125 Brentcliffe Rd.,Toronto,Ontario,M4G3Y7,416-520-5724,,Toronto Region,jamesbrand@jamesbrand.ca,,Elementary,Not applicable,Site based only,Montessori Quality Assurance in Canada (MQA)
918,Maria Montessori School Inc.,884740,,Alanah Dickson,,,125 Brentcliffe Road,Toronto,Ontario,M4G3Y7,416-423-9123,416-423-7819,Toronto Region,mariamontessori@bellnet.ca,www.mariamontessori.ca,Elementary,Not applicable,Site based only,No Association Membership
